"1","Saturnina Marco Valentín","X3554330W","Pasadizo Teófila Cortina 70","cp: 23873","#efa5df","+34 721 125 330","509-25-4712","count_bank: ES0789713576223490543202"
"2","Javier Prats Lasa","A27369065","Paseo Gerónimo Manso 85","cp: 83954","#f9757e","+34701 73 66 39","707-39-2696","count_bank: ES8411978819006903181895"
"3","Ovidio Andrés Felipe Zaragoza Alvarez","Z3834406N","Alameda de Maximiliano Ramos 51","cp: 56373","#5a46db","+34 705808156","002-69-6716","count_bank: ES5249720056986479594977"
"4","Luís Barba Figuerola","Z6128470X","Plaza de Perla Cisneros 57","cp: 47717","#c4e827","+34714 27 31 15","614-21-0069","count_bank: ES5847670449742993485056"
"5","Sabas Aguilar Escamilla","H00925511","C. de Juan Francisco Agustín 85 Piso 6 ","cp: 09214","#0e5d8e","+34 702166422","671-78-9441","count_bank: ES6289176868492007254487"
"6","Guiomar Tenorio","01884488Y","Glorieta Edu Paniagua 53","cp: 61896","#0f915b","+34844 593 615","938-47-3588","count_bank: ES8833801144807472570024"
"7","Mayte Aguirre","89851476K","Rambla Vinicio Aller 31 Piso 2 ","cp: 17567","#a8ffb9","+34 629 403 521","511-94-0062","count_bank: ES6819647353830740775044"
"8","Emigdio Barba-Leal","96223009W","Avenida Úrsula Peral 934","cp: 70538","#6d49d1","+34 748 94 63 30","838-04-5104","count_bank: ES5068594508595388566535"
"9","Herminio del Andrés","V9868716C","Avenida Paola Alvarez 7 Piso 6 ","cp: 69631","#eaf279","+34719 700 616","339-85-8332","count_bank: ES7356293776841931539847"
"10","Judith Galan Álvaro","11121455N","Rambla Poncio Tejedor 58 Apt. 29 ","cp: 73039","#74f2e9","+34721 539 210","606-55-0317","count_bank: ES1599055898758872490799"
"11","María Luisa Bayo Zurita","D29926706","Callejón Florentina Tirado 9 Puerta 3 ","cp: 03417","#3cea10","+34 710509912","751-24-2659","count_bank: ES5951096440544626267352"
"12","Cristóbal Nadal Sanjuan","X2829223Q","Vial Bernardita Vigil 4 Apt. 31 ","cp: 37645","#f7db7e","+34887 964 195","268-37-0409","count_bank: ES6349623955475428709036"
"13","Elvira Espada-Aranda","63977589F","Calle María Perelló 334","cp: 98035","#4cefdc","+34 709349380","901-28-4421","count_bank: ES2239024472323475989641"
"14","Chuy Nebot Perera","F9261493B","Camino Pánfilo Bernat 18 Piso 5 ","cp: 12278","#e529df","+34 711 34 32 52","706-21-1592","count_bank: ES6608082607287622672304"
"15","Sandra Silva Zabaleta","00226249K","Glorieta Heraclio Balaguer 50","cp: 34722","#dbdb36","+34 644392680","703-60-6417","count_bank: ES9300312689895448013934"
